,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1565035502789,12,9,158220300,438,150,-0.722222222222,0.0102711111111,MineSweeper.java,3,MineSweeper.Imports,NONE,1
2,1565035503471,1,1,891649600,358,116,0.10086047619,0.162,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
3,1565035505413,74,3,149788800,865,136,-0.254481333333,-0.26509466666700005,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
4,1565035505606,87,3,132265900,959,142,-0.219363846154,-0.149163846154,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
5,1565035506254,2,2,199994200,362,128,0.172894,0.1989348,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
6,1565035506539,16,3,141418300,458,136,-1.0,-1.0,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
7,1565035506684,30,3,200132700,564,142,-0.22921125,-0.076198125,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
8,1565035506905,42,4,191520600,644,149,-0.0984475,0.22484375,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
9,1565035507138,54,4,199939200,725,147,-0.68,0.16616679999999998,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
10,1565035507355,54,4,75021500,725,161,-0.7,0.11059,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
11,1565035507463,30,5,275120900,558,164,0.1616084375,0.165743125,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
12,1565035507771,39,3,68075900,621,137,-0.75,-0.0675625,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
13,1565035507874,47,4,143466400,678,149,-0.372255,0.243191666667,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
14,1565035508113,5,4,283527200,395,144,0.104577352941,0.237281470588,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
15,1565035508433,21,4,251939600,500,149,-0.229830526316,-0.206242631579,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
16,1565035508688,35,4,219001600,594,153,-0.250806538462,-0.145473076923,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
17,1565035509004,46,3,116537600,678,141,-0.270092,0.052513,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
18,1565035509146,65,5,225359900,803,164,0.0112147368421,0.173142631579,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
19,1565035509446,73,5,199649700,862,172,-0.124407647059,0.0986117647059,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
20,1565035509987,26,4,108183300,531,163,-0.5,0.8942200000000001,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
22,1565035511021,12,5,216766200,429,170,0.242491363636,0.345743181818,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
23,1565035511693,45,5,462255100,666,173,0.0,0.435965625,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
24,1565035512192,52,4,144579000,715,162,-0.0355392307692,0.49178,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
25,1565035513868,12,9,108352300,437,234,1.00238125,1.063085,MineSweeper.java,3,MineSweeper.Imports,NONE,1
