,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
1,1563827371186,26,3,100285500,532,143,0.273911666667,0.247088333333,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
3,1563827372594,69,3,246585200,836,144,0.384521666667,0.346928333333,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
4,1563827372896,9,3,225549400,413,136,0.43541,0.428026666667,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
5,1563827373153,29,3,283624100,550,145,0.499577142857,0.476850285714,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
6,1563827373969,40,4,283555600,624,147,0.410732727273,0.369331818182,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
7,1563827374510,9,3,191117200,415,137,1.1575311764700005,0.951812352941,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
11,1563827375810,12,8,266377400,435,215,0.6033341176470001,0.00365411764706,MineSweeper.java,2,MineSweeper.Imports,NONE,1
12,1563827376377,8,16,92048000,405,274,0.798558333333,0.445841666667,MineSweeper.java,8,MineSweeper.ClassComment,Comment,1
13,1563827379577,13,3,75023100,441,137,0.3947875,0.2917375,MineSweeperBoard.java,10,MineSweeperBoard.Imports,NONE,1
16,1563827380793,20,46,400367900,514,424,0.17406571428599998,0.17412428571400002,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Comment,1
17,1563827381210,11,54,158161500,443,425,0.503996875,0.51516875,MineSweeperBoard.java,0,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
18,1563827381444,18,41,633079200,507,269,0.302318,0.245535,MineSweeperBoard.java,3,MineSweeperBoard.ClassHeader,Member_Variable,1
19,1563827382168,25,46,200372100,553,503,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Comment,1
22,1563827383698,18,64,337710700,506,461,0.416093448276,0.416916551724,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
23,1563827384061,19,69,599386600,525,438,0.542319322034,0.550467627119,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
24,1563827384677,28,70,199980300,586,431,0.346209090909,0.356350454545,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
