ParticipantID,Gender,Accuracy,Phase,Entity,EntityNum,Percentage_B1,Percentage_B2,Percentage_Avg
P102,M,1,1,Member_Variable,0,0.03,0.05,0.04
P102,M,1,1,Comment,1,0.25,0.22,0.235
P102,M,1,1,Class_Signature,2,0.1,0.1,0.1
P102,M,1,1,Method_Body,3,0.61,0.51,0.56
P102,M,1,1,Method_Signature,4,0.01,0.12,0.065
P102,M,1,2,Member_Variable,0,0.1,0,0.01
P102,M,1,2,Comment,1,0.07,0.14,0.145
P102,M,1,2,Class_Signature,2,0,0,0
P102,M,1,2,Method_Body,3,0.8,0.86,0.83
P102,M,1,2,Method_Signature,4,0.03,0,0.015
P102,M,1,3,Member_Variable,0,0,0,0
P102,M,1,3,Comment,1,0.1,0.11,0.105
P102,M,1,3,Class_Signature,2,0,0,0
P102,M,1,3,Method_Body,3,0.84,0.89,0.865
P102,M,1,3,Method_Signature,4,0.06,0,0.03
P103,F,1,1,Member_Variable,0,0.12,0.15,0.1
P103,F,1,1,Comment,1,0.1,0.19,0.18
P103,F,1,1,Class_Signature,2,0,0,0
P103,F,1,1,Method_Body,3,0.77,0.64,0.705
P103,F,1,1,Method_Signature,4,0.01,0.02,0.015
P103,F,1,2,Member_Variable,0,0.08,0,0
P103,F,1,2,Comment,1,0.1,0.26,0.22
P103,F,1,2,Class_Signature,2,0.06,0.04,0.05
P103,F,1,2,Method_Body,3,0.74,0.69,0.715
P103,F,1,2,Method_Signature,4,0.02,0.01,0.015
P103,F,1,3,Member_Variable,0,0,NA,0
P103,F,1,3,Comment,1,0,NA,0
P103,F,1,3,Class_Signature,2,0,NA,0
P103,F,1,3,Method_Body,3,1,NA,0.5
P103,F,1,3,Method_Signature,4,0,NA,0
P105,M,0,1,Member_Variable,0,0.01,0.08,0.045
P105,M,0,1,Comment,1,0.21,0.08,0.145
P105,M,0,1,Class_Signature,2,0.3,0.3,0.3
P105,M,0,1,Method_Body,3,0.45,0.54,0.495
P105,M,0,1,Method_Signature,4,0.03,0,0.015
P105,M,0,2,Member_Variable,0,0.07,0.02,0.01
P105,M,0,2,Comment,1,0.1,0.28,0.225
P105,M,0,2,Class_Signature,2,0.05,0.01,0.03
P105,M,0,2,Method_Body,3,0.76,0.69,0.725
P105,M,0,2,Method_Signature,4,0.02,0,0.01
P105,M,0,3,Member_Variable,0,NA,0,0
P105,M,0,3,Comment,1,NA,0.47,0.235
P105,M,0,3,Class_Signature,2,NA,0,0
P105,M,0,3,Method_Body,3,NA,0.53,0.265
P105,M,0,3,Method_Signature,4,NA,0,0
P106,M,0,1,Member_Variable,0,NA,0.02,0.01
P106,M,0,1,Comment,1,NA,0.22,0.11
P106,M,0,1,Class_Signature,2,NA,0,0
P106,M,0,1,Method_Body,3,NA,0.76,0.38
P106,M,0,1,Method_Signature,4,NA,0,0
P106,M,0,2,Member_Variable,0,0.08,0,0.005
P106,M,0,2,Comment,1,0.06,0.1,0.11
P106,M,0,2,Class_Signature,2,0,0,0
P106,M,0,2,Method_Body,3,0.86,0.9,0.88
P106,M,0,2,Method_Signature,4,0,0,0
P106,M,0,3,Member_Variable,0,0.02,0,0.005
P106,M,0,3,Comment,1,0.14,0.16,0.15
P106,M,0,3,Class_Signature,2,0,0,0
P106,M,0,3,Method_Body,3,0.84,0.83,0.835
P106,M,0,3,Method_Signature,4,0,0.01,0.005
P107,M,1,1,Member_Variable,0,0.12,0.13,0.095
P107,M,1,1,Comment,1,0.32,0.45,0.385
P107,M,1,1,Class_Signature,2,0,0,0
P107,M,1,1,Method_Body,3,0.52,0.42,0.47
P107,M,1,1,Method_Signature,4,0.04,0,0.005
P107,M,1,2,Member_Variable,0,0.1,0.06,0.03
P107,M,1,2,Comment,1,0.14,0.26,0.25
P107,M,1,2,Class_Signature,2,0,0,0
P107,M,1,2,Method_Body,3,0.75,0.67,0.71
P107,M,1,2,Method_Signature,4,0.01,0.01,0.01
P107,M,1,3,Member_Variable,0,0.01,0.03,0.02
P107,M,1,3,Comment,1,0.39,0.22,0.305
P107,M,1,3,Class_Signature,2,0,0,0
P107,M,1,3,Method_Body,3,0.59,0.75,0.67
P107,M,1,3,Method_Signature,4,0.01,0,0.005
P108,M,0,1,Member_Variable,0,0.22,0.08,0.15
P108,M,0,1,Comment,1,0.19,0.14,0.165
P108,M,0,1,Class_Signature,2,0.02,0,0.01
P108,M,0,1,Method_Body,3,0.55,0.77,0.66
P108,M,0,1,Method_Signature,4,0.02,0.01,0.015
P108,M,0,2,Member_Variable,0,0.12,0,0.06
P108,M,0,2,Comment,1,0.13,0.2,0.165
P108,M,0,2,Class_Signature,2,0,0,0
P108,M,0,2,Method_Body,3,0.66,0.79,0.725
P108,M,0,2,Method_Signature,4,0.09,0.01,0.05
P108,M,0,3,Member_Variable,0,NA,0,0
P108,M,0,3,Comment,1,NA,0.49,0.245
P108,M,0,3,Class_Signature,2,NA,0,0
P108,M,0,3,Method_Body,3,NA,0.51,0.255
P108,M,0,3,Method_Signature,4,NA,0,0
P109,M,1,1,Member_Variable,0,0.09,0.11,0.1
