participant,race,age,Autism_Spectrum_Quotient,gender,native-language,others,class-standing,college,motherEdLevel,fatherEdLevel,annualIncome,ladderLevel,SPANE-P,SPANE-N,SPANE-B,SPANE-P,SPANE-N,SPANE-B,SPANE-P,SPANE-N,SPANE-B,Experience,ExpLikert,OtherExperience,years,OOPExperience,OOPLikert,JavaExperience,JavaLikert,Courses,IDEExperience,IDELikert,Industry,Industry-Number,Difficulty,Score,NextTime,Additional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-101,Asian-American,18-25,11,Male,Bangla,English,Masters/PhD,CSE,High school,Some college,120k,7,22,11,10,22,11,10,22,11,10,7,B,5,5,7,B,5,B,8,8,B,"Y, 3 months",0.25,4,"Comment, Print statement, Conditions, 
Loops, class declaration","I would try to understand the source code
a bit more in order to complete the task 
efficiiently","Enjoyed the bug, specially #2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-102,European-American,18-25,22,Male,English,"Japonese, chinese",Junior,"CSE, IOE",College,College,3000,7,24,11,13,24,11,13,24,9,15,6,C,8,10,7,B,3,D,4,5,C,"Y, 1 year",1,6,"Method name (10), class name (9)comment (3), variable declaration (7), variable initialization (4)",I would not waste time on the finder tool or remebering the syntax for print in Java,"I haven't worked in Java in a very long time, so I'm surprised I was successful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-103,Jewish-American,18-25,32,Female,English,Spanish,Researcher,"CSE, LSA",Graduate/Professional,Graduate/Professional,NA,5,25,15,10,26,9,17,25,10,15,6,C,7,4,5,C,4,D,7,7,B,N0,0,4,"Method name, comment, class name, variable declaration, variable initialization","I might have spent a bit less time trying to 
understand the code as a whole, down to the utils and more focusing on how this is 
initiated",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-104,Middle-eastern,18-25,12,Female,English,"Arabic, Spanish",Sophomore,CSA,College,College,"30k, 35k",6,28,13,15,29,13,16,30,12,17,5,C,4,1,1,E,3,D,1,8,B,NA,0,4,NA,"I would specify that the code doesn't need to be fixed, but the bug needs to be found",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-105,Indian,18-25,24,Male,Hindi,"English, Panjabi",Senior,LSA,High school,Less than high school,400k,6,25,17,7,24,18,6,24,18,6,7,B,8,6,9,A,5,C,5,8,B,NA,0,4,"Comment- 8/10, Variable Declarations- 5/10
Stack Trace Hyperlinks(When the program crashed) - 9/10
method name - 6/10, class name - 4/10","I haven't specifically looked at the Java IDE
part of the language, should have looked it
up before",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-106,Asian,18-25,15,Male,Urdu,"English, Arabic, Pinjabi",Masters/PhD,CSE,Graduate/Professional,Graduate/Professional,100k -130k,8,22,7,15,24,7,17,23,8,15,8,B,5,7,8,B,7,B,12,8,B,No,0,4,"Method name (4), class name (4)comment (4), variable declaration (6), variable initialization (6), control flow (7)","Possibly if I have brushed up on my Java knowledge, I was very much a Python programming mode and therefore rusty with Java Syntax",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-107,Asian,18-25,25,Female,English,Hindi,Masters/PhD,CSE,Graduate/Professional,Graduate/Professional,55k,7,18,16,2,15,7,8,13.5,7,6.5,9,A,9,13,8,B,4,D,15,5,C,No,0,4,"Class name, Comment, intialization, if/else (condition), method name",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-108,Asian-American,18-25,13,Male,English,Mandarin,Senior,CoE,College,Graduate,120k,7,25,20,5,26,18,8,27,18,9,8,B,6,4.5,5,C,4,D,3,8,B,"Yes, 3months",0.25,2,"method names (10), class name (5), control flow (10), var initialization (6), var declaration (6)",I figured out the problem but didn't have enough time to fix the bug,Fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-109,African-American,18-25,12,Male,English,Spanish,Senior,LSA,College,Graduate,400k,7,23,16,7,19,17,2,19,20,-1,7,B,8,5,7,B,5,C,7,10,A,No,0,8,"Comments (4), method names (7), class name (10), variable names (5), var initialization (6), control flow (6)",I should have tried to test more things instead of running the application,"Thanks for the opportunity, I thought eye-tracking is really cool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-201,European-American,25-30,15,Male,English,NA,Masters/PhD,CSE,Graduate/Professional,College,80k,7,23,17,6,24,15,9,24,14,10,8,B,9,11,8,B,8,B,10,2,E,"Y, 1 year",1,4,"Variable name/declaration (10 for search), Data flow (8), variable initialization (6), control flow (3 specially for the first task) 
","Not really, it took me a few attemps to figure out how to fix the 2nd bug, although I found it early. Maybe adding some logging/printing early on whould have helped",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
