p_name,Task,Gender,Accuracy,AOI,Time (ms after epoch),dwell_duration,phase_number
P101,2,M,0,Understanding,1.56E+12,5,1
P101,2,M,0,Understanding,1.56E+12,14,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,165,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,18181,1
P101,2,M,0,Understanding,1.56E+12,76705,1
P101,2,M,0,Understanding,1.56E+12,15651,1
P101,2,M,0,Inspection,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,1479,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,2617,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,5055,1
P101,2,M,0,Inspection,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,2749,1
P101,2,M,0,Inspection,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,23012,1
P101,2,M,0,Inspection,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,4887,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,15059,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,98,1
P101,2,M,0,Inspection,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,3683,1
P101,2,M,0,Navigation,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,7889,1
P101,2,M,0,Inspection,1.56E+12,1,1
P101,2,M,0,Understanding,1.56E+12,10296,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1039,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,15728,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,20150,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,11425,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,570,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,6379,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,37,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,4999,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,384,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,24385,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3152,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1578,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,35,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3300,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,5486,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3504,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3896,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1560,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,728,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,8481,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2247,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1864,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1796,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1326,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1888,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,7726,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,600,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,6424,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,7952,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,584,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,5568,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,449,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,7147,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,21718,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,630,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3991,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,9136,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,16305,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,10592,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2056,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,16832,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,14447,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,59,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1406,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,536,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,680,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,920,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1080,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,689,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,7638,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,33,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,8913,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,11031,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1752,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,832,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2423,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,33,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,9476,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,45,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,6935,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1136,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,17958,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,115,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,8102,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2111,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,36,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2261,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,24921,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3144,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,473,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,33,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2318,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,32,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1016,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,9384,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1333,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1000,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,791,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,759,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,5237,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,7048,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2912,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1037,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,31,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,10121,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,9483,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1169,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2254,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,31,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2130,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,11460,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,24867,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3369,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,368,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,328,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2906,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,31,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,2694,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,37,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,6804,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,18680,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,6057,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1660,2
P101,2,M,0,Editing,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,17,2
P101,2,M,0,Understanding,1.56E+12,1248,2
P101,2,M,0,Editing,1.56E+12,727,2
P101,2,M,0,Understanding,1.56E+12,563,2
P101,2,M,0,Editing,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,14,2
P101,2,M,0,Understanding,1.56E+12,283,2
P101,2,M,0,Editing,1.56E+12,4755,2
P101,2,M,0,Understanding,1.56E+12,377,2
P101,2,M,0,Editing,1.56E+12,417,2
P101,2,M,0,Understanding,1.56E+12,537,2
P101,2,M,0,Editing,1.56E+12,1197,2
P101,2,M,0,Understanding,1.56E+12,2626,2
P101,2,M,0,Editing,1.56E+12,2681,2
P101,2,M,0,Understanding,1.56E+12,5,2
P101,2,M,0,Understanding,1.56E+12,1622,2
P101,2,M,0,Understanding,1.56E+12,763,2
P101,2,M,0,Editing,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,9,2
P101,2,M,0,Understanding,1.56E+12,4005,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,33680,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1701,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1262,2
P101,2,M,0,Editing,1.56E+12,142,2
P101,2,M,0,Understanding,1.56E+12,1748,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,798,2
P101,2,M,0,Editing,1.56E+12,1023,2
P101,2,M,0,Understanding,1.56E+12,479,2
P101,2,M,0,Editing,1.56E+12,231,2
P101,2,M,0,Understanding,1.56E+12,507,2
P101,2,M,0,Editing,1.56E+12,185,2
P101,2,M,0,Understanding,1.56E+12,1402,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3230,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,441,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,1248,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,3616,2
P101,2,M,0,Navigation,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,7760,2
P101,2,M,0,Inspection,1.56E+12,1,2
P101,2,M,0,Understanding,1.56E+12,8928,2
